Unix Timestamp,Year,Month,Day,Hour,Minute,Second,Distance (cm),Latitude,Longitude,Confidence
1701740606073,2023,12,4,15,43,26,799,19.7283364,-155.9893316,50
1701740606761,2023,12,4,15,43,26,881,19.7283364,-155.9893316,44
1701740607484,2023,12,4,15,43,27,1027,19.7283365,-155.9893316,50
1701740608181,2023,12,4,15,43,28,1175,19.7283366,-155.9893315,26
1701740608859,2023,12,4,15,43,28,1190,19.7283367,-155.9893314,23
1701740609543,2023,12,4,15,43,29,1256,19.7283368,-155.9893314,1
1701740610098,2023,12,4,15,43,30,1272,19.7283368,-155.9893315,1
1701740610658,2023,12,4,15,43,30,1337,19.7283367,-155.9893315,1
1701740611246,2023,12,4,15,43,31,1247,19.7283367,-155.9893315,1
1701740611811,2023,12,4,15,43,31,1437,19.7283368,-155.9893314,9
1701740858672,2023,12,4,15,47,38,316,19.7283362,-155.989331,50
1701740859509,2023,12,4,15,47,39,354,19.7283362,-155.9893313,29
1701740860199,2023,12,4,15,47,40,397,19.7283359,-155.9893316,35
1701740861013,2023,12,4,15,47,41,394,19.7283355,-155.9893319,1
1701740861703,2023,12,4,15,47,41,465,19.7283351,-155.9893323,18
1701740865303,2023,12,4,15,47,45,720,19.7283342,-155.9893328,32
1701740866329,2023,12,4,15,47,46,877,19.7283341,-155.9893331,36
1701740867350,2023,12,4,15,47,47,955,19.7283341,-155.9893336,37
1701740868382,2023,12,4,15,47,48,912,19.728334,-155.9893341,1
1701740869194,2023,12,4,15,47,49,300,19.7283338,-155.9893344,56
1701740870015,2023,12,4,15,47,50,351,19.7283337,-155.9893346,32
1701740870937,2023,12,4,15,47,50,384,19.7283336,-155.9893349,53
1701740871818,2023,12,4,15,47,51,452,19.7283331,-155.9893357,23
1701740872763,2023,12,4,15,47,52,601,19.7283327,-155.9893362,11
1701740873598,2023,12,4,15,47,53,648,19.7283327,-155.9893362,1
1701740874521,2023,12,4,15,47,54,639,19.7283328,-155.9893362,19
1701740875340,2023,12,4,15,47,55,816,19.7283328,-155.9893364,9
1701740876231,2023,12,4,15,47,56,1064,19.7283328,-155.9893366,14
1701740876979,2023,12,4,15,47,56,290,19.7283327,-155.9893367,61
1701740877796,2023,12,4,15,47,57,348,19.7283327,-155.9893371,21
1701741238572,2023,12,4,15,53,58,920,19.7283508,-155.9893671,28
1701741239370,2023,12,4,15,53,59,1024,19.7283505,-155.989367,23
1701741240015,2023,12,4,15,54,0,1116,19.7283504,-155.989367,22
1701741240911,2023,12,4,15,54,0,1203,19.7283504,-155.9893666,1
1701741241730,2023,12,4,15,54,1,1219,19.7283508,-155.9893657,1
1701741242650,2023,12,4,15,54,2,965,19.728351,-155.9893651,1
1701741243674,2023,12,4,15,54,3,986,19.7283514,-155.9893645,1
1701741244699,2023,12,4,15,54,4,1214,19.7283518,-155.9893639,1
1701741245722,2023,12,4,15,54,5,1484,19.728352,-155.9893634,9
1701741246644,2023,12,4,15,54,6,1730,19.7283521,-155.9893631,25
1701741247565,2023,12,4,15,54,7,1866,19.7283524,-155.9893627,1
1701741248795,2023,12,4,15,54,8,1889,19.7283524,-155.9893622,1
1701741249717,2023,12,4,15,54,9,2138,19.7283525,-155.989362,1
1701741250741,2023,12,4,15,54,10,2204,19.7283527,-155.9893616,37
1701741251560,2023,12,4,15,54,11,2435,19.7283528,-155.9893611,11
1701741488696,2023,12,4,15,58,8,492,19.7283556,-155.9893343,1
1701741489373,2023,12,4,15,58,9,549,19.7283556,-155.9893342,23
1701741490069,2023,12,4,15,58,10,612,19.7283556,-155.989334,69
1701741490740,2023,12,4,15,58,10,650,19.7283556,-155.9893339,39
1701741491546,2023,12,4,15,58,11,678,19.7283556,-155.9893339,54
1701741492116,2023,12,4,15,58,12,749,19.7283556,-155.9893341,68
1701741493015,2023,12,4,15,58,13,862,19.7283555,-155.9893339,40
1701741494062,2023,12,4,15,58,14,914,19.7283552,-155.9893336,12
1701741494984,2023,12,4,15,58,14,1034,19.7283549,-155.9893335,1
1701741496020,2023,12,4,15,58,16,1090,19.7283546,-155.9893337,1
1701741496929,2023,12,4,15,58,16,1330,19.7283545,-155.9893347,26
1701741722213,2023,12,4,16,2,2,991,19.7283468,-155.9893612,20
1701741722961,2023,12,4,16,2,2,1090,19.7283467,-155.989362,30
1701741723953,2023,12,4,16,2,3,291,19.7283468,-155.9893628,39
1701741724670,2023,12,4,16,2,4,391,19.7283468,-155.9893631,22
1701741725695,2023,12,4,16,2,5,444,19.7283468,-155.9893639,23
1701741961425,2023,12,4,16,6,1,862,19.7283431,-155.9893193,39
1701741962283,2023,12,4,16,6,2,912,19.7283429,-155.989319,44
1701741963264,2023,12,4,16,6,3,887,19.7283424,-155.9893179,1
1701741964082,2023,12,4,16,6,4,842,19.728342,-155.9893167,12
